active_cases,city_name,city_notification_rate,confirmed_cases,daily_cases,deaths,epidemiological_week,estimated_population_2019,health_region_id,health_region_notification_rate,infectious_period_cases,is_last,is_repeated,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_updated,new_deaths,notification_rate,order_for_place,state_name,state_notification_rate,state_num_id,data_last_refreshed
1,São José do Rio Preto,,1,1,0,12,460671,35155,,1,False,False,0.21707,3/18/2020,0,3/18/2020,0,,1,São Paulo,,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,12,460671,35155,,1,False,False,0.21707,3/19/2020,0,3/19/2020,0,,2,São Paulo,,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,12,460671,35155,,1,False,False,0.21707,3/20/2020,0,3/20/2020,0,,3,São Paulo,,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,12,460671,35155,,1,False,True,0.21707,3/20/2020,0,3/21/2020,0,,4,São Paulo,,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,13,460671,35155,,1,False,True,0.21707,3/20/2020,0,3/22/2020,0,,5,São Paulo,,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,13,460671,35155,1,1,False,True,0.21707,3/20/2020,0,3/23/2020,0,1,6,São Paulo,1,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,13,460671,35155,0.925587302,1,False,True,0.21707,3/20/2020,0,3/24/2020,0,0.925587302,7,São Paulo,0.925587302,35,8/29/2020 12:10
1,São José do Rio Preto,,1,0,0,13,460671,35155,0.744813492,1,False,False,0.21707,3/25/2020,0,3/25/2020,0,0.744813492,8,São Paulo,0.744813492,35,8/29/2020 12:10
2,São José do Rio Preto,,1,0,0,13,460671,35155,0.634597953,1,False,False,0.21707,3/26/2020,0,3/26/2020,0,0.634597953,9,São Paulo,0.634597953,35,8/29/2020 12:10
2,São José do Rio Preto,,1,0,0,13,460671,35155,0.577891012,1,False,False,0.21707,3/27/2020,0,3/27/2020,0,0.577891012,10,São Paulo,0.577891012,35,8/29/2020 12:10
2,São José do Rio Preto,,1,0,0,13,460671,35155,0.52118407,1,False,True,0.21707,3/27/2020,0,3/28/2020,0,0.52118407,11,São Paulo,0.52118407,35,8/29/2020 12:10
2,São José do Rio Preto,,1,0,0,14,460671,35155,0.464477129,1,False,True,0.21707,3/27/2020,0,3/29/2020,0,0.464477129,12,São Paulo,0.464477129,35,8/29/2020 12:10
8,São José do Rio Preto,,3,2,0,14,460671,35155,0.394993002,3,False,False,0.65122,3/30/2020,0,3/30/2020,0,0.394993002,13,São Paulo,0.394993002,35,8/29/2020 12:10
18,São José do Rio Preto,,6,3,0,14,460671,35155,0.336410991,6,False,False,1.30245,3/31/2020,0,3/31/2020,0,0.336410991,14,São Paulo,0.336410991,35,8/29/2020 12:10
18,São José do Rio Preto,,7,1,0,14,460671,35155,0.338566915,6,False,False,1.51952,4/1/2020,0,4/1/2020,0,0.338566915,15,São Paulo,0.338566915,35,8/29/2020 12:10
18,São José do Rio Preto,,7,0,0,14,460671,35155,0.339964824,6,False,False,1.51952,4/2/2020,0,4/2/2020,0,0.339964824,16,São Paulo,0.339964824,35,8/29/2020 12:10
18,São José do Rio Preto,,7,0,0,14,460671,35155,0.34161197,6,False,False,1.51952,4/3/2020,0,4/3/2020,0,0.34161197,17,São Paulo,0.34161197,35,8/29/2020 12:10
24,São José do Rio Preto,,9,2,0,14,460671,35155,0.339587532,8,False,False,1.95367,4/4/2020,0,4/4/2020,0,0.339587532,18,São Paulo,0.339587532,35,8/29/2020 12:10
27,São José do Rio Preto,,10,1,0,15,460671,35155,0.336562294,9,False,False,2.17075,4/5/2020,0,4/5/2020,0,0.336562294,19,São Paulo,0.336562294,35,8/29/2020 12:10
35,São José do Rio Preto,,13,3,0,15,460671,35155,0.34409049,12,False,False,2.82197,4/6/2020,0,4/6/2020,0,0.34409049,20,São Paulo,0.34409049,35,8/29/2020 12:10
80,São José do Rio Preto,,28,15,1,15,460671,35155,0.338853564,27,False,False,6.07809,4/7/2020,0.0357,4/7/2020,1,0.338853564,21,São Paulo,0.338853564,35,8/29/2020 12:10
105,São José do Rio Preto,,36,8,1,15,460671,35155,0.332153248,35,False,False,7.81469,4/8/2020,0.0278,4/8/2020,0,0.332153248,22,São Paulo,0.332153248,35,8/29/2020 12:10
124,São José do Rio Preto,,41,5,1,15,460671,35155,0.322483143,40,False,False,8.90006,4/9/2020,0.0244,4/9/2020,0,0.322483143,23,São Paulo,0.322483143,35,8/29/2020 12:10
128,São José do Rio Preto,,41,0,1,15,460671,35155,0.313537648,40,False,False,8.90006,4/10/2020,0.0244,4/10/2020,0,0.313537648,24,São Paulo,0.313537648,35,8/29/2020 12:10
127,São José do Rio Preto,,40,-1,1,15,460671,35155,0.307835921,39,False,False,8.68299,4/11/2020,0.025,4/11/2020,0,0.307835921,25,São Paulo,0.307835921,35,8/29/2020 12:10
142,São José do Rio Preto,,44,4,1,16,460671,35155,0.302702534,43,False,False,9.55128,4/12/2020,0.0227,4/12/2020,0,0.302702534,26,São Paulo,0.302702534,35,8/29/2020 12:10
55,São José do Rio Preto,0.788571429,46,2,1,16,460671,35155,0.934285714,43,False,False,9.98543,4/13/2020,0.0217,4/13/2020,0,0.788571429,27,São Paulo,0.299051219,35,8/29/2020 12:10
66,São José do Rio Preto,0.761904762,56,10,3,16,460671,35155,0.908571429,50,False,False,12.15618,4/14/2020,0.0536,4/14/2020,2,0.761904762,28,São Paulo,0.294036079,35,8/29/2020 12:10
75,São José do Rio Preto,0.717142857,61,5,3,16,460671,35155,0.858095238,54,False,False,13.24155,4/15/2020,0.0492,4/15/2020,0,0.717142857,29,São Paulo,0.290047145,35,8/29/2020 12:10
88,São José do Rio Preto,0.661904762,65,4,3,16,460671,35155,0.792380952,58,False,False,14.10985,4/16/2020,0.0462,4/16/2020,0,0.661904762,30,São Paulo,0.28593163,35,8/29/2020 12:10
103,São José do Rio Preto,0.593333333,68,3,4,16,460671,35155,0.710952381,61,False,False,14.76108,4/17/2020,0.0588,4/17/2020,1,0.593333333,31,São Paulo,0.282293927,35,8/29/2020 12:10
